iter	RMSE
0	0.6683273238
1	0.6543518661
2	0.6413502985
3	0.6294361264
4	0.6180698471
5	0.6077821222
6	0.5981508606
7	0.5893448922
8	0.5808077928
9	0.573094891
10	0.5658422209
11	0.5592941662
12	0.5529313408
13	0.5470505943
14	0.5415777216
15	0.5363294472
16	0.5316364651
17	0.5272284903
18	0.5229094571
19	0.5187718516
20	0.5153667162
21	0.511802441
22	0.508615857
23	0.5057697431
24	0.5028271248
25	0.5000732681
26	0.4975339272
27	0.4951216124
28	0.4926580809
29	0.4906418887
30	0.4887115327
31	0.4868059565
32	0.4846962098
33	0.4828344669
34	0.481093578
35	0.4795241526
36	0.4779509865
37	0.4764338714
38	0.4751845878
39	0.4738691609
40	0.47267698
41	0.4714286082
42	0.4703854637
43	0.4692833898
44	0.4683416392
45	0.4673472803
46	0.4663687225
47	0.4655240564
48	0.4647656323
49	0.4639615772
50	0.4631926928
51	0.4624706892
52	0.461859927
53	0.4612386821
54	0.4605571091
55	0.4599931167
56	0.4593528199
57	0.4587201585
58	0.4581462228
59	0.4576465122
60	0.4571964154
61	0.4566881213
62	0.4562120262
63	0.4557230545
64	0.4552415624
65	0.4547780101
66	0.4542799888
67	0.4538833285
68	0.453469548
69	0.4531284764
70	0.4528352358
71	0.452416947
72	0.4520360511
73	0.4516868505
74	0.4513687326
75	0.4510920034
76	0.4507710694
77	0.4504111605
78	0.4500997881
79	0.4498152557
80	0.4495575265
81	0.4492591821
82	0.4489820762
83	0.4486566324
84	0.4484220592
85	0.4481355641
86	0.4478469673
87	0.4476121737
88	0.4473579774
89	0.4470865536
90	0.4468055054
91	0.4465311421
92	0.4463045311
93	0.4460958244
94	0.445850498
95	0.4456313975
96	0.4454491861
97	0.4452383027
98	0.4450298792
99	0.4447639553
100	0.444628234
101	0.4444335931
102	0.4442236429
103	0.4440215601
104	0.4438697759
105	0.4436914704
106	0.4434924127
107	0.4433534434
108	0.4432184765
109	0.4430651271
110	0.4428619354
111	0.4427263216
112	0.4425487742
113	0.442406614
114	0.4422314597
115	0.4420798896
116	0.4419344337
117	0.4417872506
118	0.4416474927
119	0.4415262531
120	0.441334204
121	0.4412009799
122	0.4410529776
123	0.4409285206
124	0.4407305249
125	0.4406205525
126	0.4404876709
127	0.4403625265
128	0.4401849623
129	0.4399982552
130	0.4399021042
131	0.4398032607
132	0.4397080378
133	0.4395974328
134	0.4394620922
135	0.4392882818
136	0.4391840042
137	0.4390958558
138	0.4389165107
139	0.4387982772
140	0.4387397277
141	0.4386465572
142	0.4385568318
143	0.438491464
144	0.4383988796
145	0.4382681705
146	0.4381996984
147	0.4380175161
148	0.4379378822
149	0.4378032261
150	0.4376877429
151	0.4376153668
152	0.4375458647
153	0.437422763
154	0.4372996735
155	0.4371983536
156	0.4370739001
157	0.4370063386
158	0.4369571867
159	0.4368096381
160	0.4367393762
161	0.4366774542
162	0.4366095758
163	0.4365481567
164	0.4364592368
165	0.4364129003
166	0.4363514257
167	0.4362781654
168	0.4362241733
169	0.4361699102
170	0.4360747859
171	0.435944574
172	0.4358754135
173	0.4357986468
174	0.4357455225
175	0.4356951083
176	0.4356431303
177	0.4355427545
178	0.4354906564
179	0.4353945235
180	0.4352839091
181	0.4351762216
182	0.4351161905
183	0.4350452375
184	0.4349565073
185	0.4348548254
186	0.4347872428
187	0.4346860832
188	0.4346175547
189	0.4345823615
190	0.4345300915
191	0.434451837
192	0.4344102991
193	0.4343459725
194	0.4342981386
195	0.434261404
196	0.4341621498
197	0.4341205851
198	0.4340428367
199	0.4340000964
200	0.4339620077
201	0.4339045959
202	0.433837172
203	0.4337842724
204	0.4337505297
205	0.4337011268
206	0.4336542585
207	0.4335990134
208	0.4335259671
209	0.4334573212
