iter	Passed	Remaining
0	46	46378
1	84	42032
2	122	40845
3	164	40984
4	206	41074
5	246	40840
6	282	40021
7	313	38934
8	348	38407
9	385	38132
10	430	38737
11	476	39241
12	524	39806
13	576	40566
14	619	40698
15	663	40801
16	706	40826
17	744	40638
18	781	40352
19	822	40285
20	861	40183
21	906	40297
22	962	40897
23	1009	41037
24	1056	41188
25	1104	41378
26	1142	41163
27	1179	40951
28	1223	40975
29	1256	40622
30	1295	40498
31	1334	40365
32	1369	40141
33	1401	39825
34	1439	39695
35	1476	39547
36	1510	39312
37	1541	39036
38	1570	38696
39	1601	38430
40	1630	38132
41	1672	38152
42	1707	38005
43	1754	38124
44	1793	38059
45	1833	38033
46	1879	38106
47	1921	38116
48	1968	38212
49	2013	38253
50	2054	38225
51	2094	38189
52	2128	38040
53	2168	37981
54	2215	38070
55	2251	37956
56	2296	37987
57	2331	37869
58	2370	37814
59	2405	37692
60	2435	37497
61	2465	37298
62	2500	37187
63	2538	37121
64	2573	37013
65	2611	36951
66	2647	36872
67	2680	36742
68	2723	36745
69	2761	36683
70	2803	36684
71	2845	36672
72	2895	36770
73	2950	36922
74	2989	36865
75	3029	36835
76	3068	36781
77	3101	36661
78	3131	36507
79	3161	36352
80	3195	36249
81	3228	36138
82	3258	36002
83	3290	35878
84	3324	35785
85	3359	35700
86	3395	35636
87	3434	35589
88	3465	35472
89	3498	35377
90	3538	35348
91	3574	35279
92	3615	35258
93	3649	35172
94	3690	35155
95	3732	35147
96	3769	35095
97	3803	35009
98	3835	34905
99	3874	34871
100	3904	34756
101	3945	34738
102	3991	34764
103	4024	34673
104	4074	34734
105	4111	34675
106	4146	34602
107	4180	34530
108	4213	34438
109	4242	34324
110	4274	34236
111	4305	34135
112	4341	34079
113	4372	33980
114	4411	33946
115	4443	33863
116	4482	33831
117	4519	33783
118	4558	33748
119	4588	33651
120	4628	33623
121	4663	33565
122	4704	33546
123	4741	33493
124	4776	33436
125	4808	33350
126	4855	33373
127	4901	33392
128	4935	33321
129	4984	33358
130	5028	33357
131	5068	33328
132	5100	33251
133	5134	33180
134	5169	33124
135	5215	33130
136	5250	33077
137	5283	33002
138	5323	32976
139	5367	32971
140	5398	32890
141	5438	32863
142	5480	32844
143	5513	32775
144	5545	32699
145	5582	32651
146	5614	32581
147	5653	32543
148	5687	32483
149	5731	32480
150	5771	32450
151	5809	32412
152	5862	32453
153	5911	32475
154	5957	32477
155	5999	32461
156	6049	32483
157	6092	32467
158	6121	32376
159	6150	32288
160	6186	32236
161	6217	32164
162	6261	32154
163	6290	32067
164	6322	31993
165	6350	31904
166	6381	31832
167	6415	31771
168	6446	31697
169	6480	31638
170	6511	31569
171	6543	31499
172	6576	31438
173	6608	31370
174	6650	31352
175	6689	31317
176	6724	31265
177	6758	31210
178	6790	31144
179	6826	31098
180	6877	31120
181	6926	31133
182	6961	31080
183	7006	31073
184	7049	31054
185	7089	31027
186	7124	30972
187	7166	30952
188	7203	30908
189	7233	30837
190	7263	30765
191	7296	30707
192	7332	30657
193	7365	30601
194	7502	30973
195	7578	31087
196	7652	31191
197	7702	31200
198	7774	31292
199	7806	31227
200	7843	31177
201	7910	31252
202	7963	31263
203	8005	31237
204	8046	31203
205	8077	31135
206	8115	31088
207	8155	31053
208	8193	31009
209	8227	30950
210	8272	30932
211	8306	30875
212	8339	30813
213	8372	30750
214	8409	30703
215	8441	30638
216	8469	30562
217	8497	30482
218	8525	30405
219	8557	30341
220	8586	30266
221	8616	30198
222	8653	30150
223	8685	30087
224	8726	30056
225	8764	30017
226	8795	29951
227	8827	29889
228	8882	29906
229	8919	29859
230	8953	29805
231	8987	29752
232	9026	29715
233	9064	29672
234	9096	29610
235	9130	29556
236	9158	29485
237	9193	29435
238	9229	29388
239	9261	29329
240	9299	29287
241	9341	29258
242	9372	29197
243	9409	29154
244	9444	29103
245	9478	29053
246	9515	29008
247	9548	28952
248	9581	28899
249	9616	28849
250	9657	28820
251	9693	28773
252	9730	28729
253	9770	28696
254	9808	28656
255	9876	28703
256	9940	28737
257	9991	28733
258	10036	28715
259	10077	28680
260	10118	28650
261	10158	28613
262	10190	28557
263	10223	28500
264	10257	28449
265	10290	28395
266	10325	28346
267	10357	28290
268	10393	28244
269	10435	28213
270	10469	28163
271	10499	28101
272	10533	28051
273	10563	27989
274	10591	27923
275	10625	27872
276	10660	27823
277	10696	27780
278	10732	27735
279	10769	27693
280	10803	27642
281	10839	27597
282	10882	27572
283	10929	27555
284	10968	27516
285	11012	27492
286	11049	27450
287	11085	27406
288	11120	27359
289	11158	27318
290	11201	27290
291	11244	27263
292	11279	27217
293	11312	27164
294	11346	27116
295	11375	27056
296	11404	26994
297	11437	26944
298	11468	26886
299	11494	26820
300	11527	26768
301	11558	26713
302	11592	26665
303	11621	26606
304	11653	26554
305	11690	26514
306	11736	26492
307	11771	26447
308	11805	26400
309	11838	26350
310	11874	26307
311	11918	26280
312	11954	26238
313	11989	26194
314	12030	26162
315	12060	26105
316	12099	26070
317	12131	26017
318	12167	25975
319	12199	25924
320	12231	25872
321	12269	25834
322	12304	25789
323	12336	25739
324	12370	25691
325	12405	25647
326	12437	25597
327	12467	25543
328	12501	25496
329	12537	25455
330	12572	25410
331	12605	25362
332	12636	25311
333	12671	25266
334	12720	25251
335	12756	25208
336	12787	25156
337	12830	25129
338	12871	25097
339	12921	25082
340	12978	25081
341	13018	25046
342	13060	25016
343	13096	24974
344	13132	24932
345	13163	24880
346	13197	24835
347	13226	24779
348	13254	24723
349	13293	24688
350	13335	24657
351	13370	24613
352	13416	24591
353	13464	24570
354	13511	24548
355	13553	24518
356	13592	24481
357	13625	24435
358	13661	24392
359	13708	24370
360	13744	24329
361	13790	24305
362	13841	24289
363	13887	24264
364	13927	24230
365	13986	24227
366	14040	24217
367	14074	24170
368	14105	24120
369	14140	24077
370	14175	24033
371	14205	23980
372	14233	23926
373	14270	23885
374	14306	23843
375	14352	23819
376	14391	23782
377	14434	23751
378	14483	23731
379	14526	23700
380	14566	23665
381	14613	23641
382	14646	23595
383	14678	23547
384	14715	23507
385	14753	23468
386	14797	23439
387	14877	23466
388	14921	23437
389	14961	23401
390	15009	23377
391	15049	23341
392	15090	23308
393	15141	23288
394	15193	23270
395	15240	23245
396	15292	23227
397	15350	23218
398	15407	23207
399	15441	23162
400	15474	23114
401	15506	23066
402	15539	23019
403	15571	22971
404	15606	22928
405	15643	22886
406	15677	22842
407	15712	22797
408	15746	22752
409	15788	22720
410	15828	22683
411	15865	22642
412	15901	22600
413	15935	22555
414	15968	22509
415	16004	22468
416	16038	22422
417	16066	22369
418	16095	22318
419	16127	22270
420	16155	22218
421	16185	22168
422	16211	22113
423	16241	22064
424	16273	22016
425	16309	21976
426	16343	21932
427	16378	21888
428	16412	21845
429	16451	21807
430	16484	21762
431	16512	21711
432	16545	21666
